"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (4),0,1,0.1891892,37
camera (5),0.02702703,0.9729729,0.9459459,37
camera (6),0.02702703,0.972973,0.8108108,37
camera (7),0.02702703,0.9729729,0.9459459,37

camera (0),0,1,0.9473684,38
camera (1),0,1,0.9736842,38
camera (2),0.9736842,0.02631579,0,38
camera (3),0,1,0.9736842,38
camera (4),0,1,0.2105263,38
camera (5),0.02631579,0.9736843,0.9473684,38
camera (6),0.02631579,0.9736843,0.7894737,38
camera (7),0.02631579,0.9736843,0.9473684,38

camera (0),0,1,0.948718,39
camera (1),0,1,0.974359,39
camera (2),0.974359,0.02564103,0,39
camera (3),0,1,0.974359,39
camera (4),0,1,0.2307692,39
camera (5),0.02564103,0.974359,0.948718,39
camera (6),0.02564103,0.974359,0.7692308,39
camera (7),0.02564103,0.974359,0.948718,39

camera (0),0,1,0.95,40
camera (1),0,1,0.975,40
camera (2),0.975,0.025,0,40
camera (3),0,1,0.975,40
camera (4),0,1,0.25,40
camera (5),0.025,0.975,0.95,40
camera (6),0.025,0.975,0.75,40
camera (7),0.025,0.975,0.95,40

camera (0),0,1,0.9512195,41
camera (1),0,1,0.9756098,41
camera (2),0.9756098,0.02439024,0,41
camera (3),0,1,0.9756098,41
camera (4),0,1,0.2682927,41
camera (5),0.02439024,0.9756097,0.9512195,41
camera (6),0.02439024,0.9756098,0.7317073,41
camera (7),0.02439024,0.9756097,0.9512195,41

camera (0),0,1,0.952381,42
camera (1),0,1,0.9761904,42
camera (2),0.9761904,0.02380952,0,42
camera (3),0,1,0.9761904,42
camera (4),0,1,0.2857143,42
camera (5),0.02380952,0.9761905,0.952381,42
camera (6),0.02380952,0.9761905,0.7142857,42
camera (7),0.02380952,0.9761905,0.952381,42

camera (0),0,1,0.9534883,43
camera (1),0,1,0.9767442,43
camera (2),0.9767442,0.02325581,0,43
camera (3),0,1,0.9767442,43
camera (4),0,1,0.3023256,43
camera (5),0.02325581,0.9767442,0.9534883,43
camera (6),0.02325581,0.9767442,0.6976744,43
camera (7),0.02325581,0.9767442,0.9534883,43

camera (0),0,1,0.9545454,44
camera (1),0,1,0.9772727,44
camera (2),0.9772727,0.02272727,0,44
camera (3),0,1,0.9772727,44
camera (4),0,1,0.3181818,44
camera (5),0.02272727,0.9772727,0.9545454,44
camera (6),0.02272727,0.9772727,0.6818182,44
camera (7),0.02272727,0.9772727,0.9545454,44

camera (0),0,1,0.9555556,45
camera (1),0,1,0.9777778,45
camera (2),0.9777778,0.02222222,0,45
camera (3),0,1,0.9777778,45
camera (4),0,1,0.3333333,45
camera (5),0.02222222,0.9777778,0.9555556,45
camera (6),0.02222222,0.9777778,0.6666667,45
camera (7),0.02222222,0.9777778,0.9555556,45

camera (0),0,1,0.9565217,46
camera (1),0,1,0.9782609,46
camera (2),0.9782609,0.02173913,0,46
camera (3),0,1,0.9782609,46
camera (4),0,1,0.3478261,46
camera (5),0.02173913,0.9782609,0.9565217,46
camera (6),0.02173913,0.9782609,0.6521739,46
camera (7),0.02173913,0.9782609,0.9565217,46

camera (0),0,1,0.9574468,47
camera (1),0,1,0.9787234,47
camera (2),0.9787234,0.0212766,0,47
camera (3),0,1,0.9787234,47
camera (4),0,1,0.3617021,47
camera (5),0.0212766,0.9787234,0.9574468,47
camera (6),0.0212766,0.9787234,0.6382979,47
camera (7),0.0212766,0.9787234,0.9574468,47

camera (0),0,1,0.9583333,48
camera (1),0,1,0.9791667,48
camera (2),0.9791667,0.02083333,0,48
camera (3),0,1,0.9791667,48
camera (4),0,1,0.375,48
camera (5),0.02083333,0.9791666,0.9583333,48
camera (6),0.02083333,0.9791666,0.625,48
camera (7),0.02083333,0.9791666,0.9583333,48

camera (0),0,1,0.9591837,49
camera (1),0,1,0.9795918,49
camera (2),0.9795918,0.02040816,0,49
camera (3),0,1,0.9795918,49
camera (4),0,1,0.3877551,49
camera (5),0.02040816,0.9795918,0.9591837,49
camera (6),0.02040816,0.9795918,0.6122449,49
camera (7),0.02040816,0.9795918,0.9591837,49

camera (0),0,1,0.96,50
camera (1),0,1,0.98,50
camera (2),0.98,0.02,0,50
camera (3),0,1,0.98,50
camera (4),0,1,0.4,50
camera (5),0.02,0.98,0.96,50
camera (6),0.02,0.98,0.6,50
camera (7),0.02,0.98,0.96,50

camera (0),0,1,0.9607843,51
camera (1),0,1,0.9803922,51
camera (2),0.9803922,0.01960784,0,51
camera (3),0,1,0.9803922,51
camera (4),0,1,0.4117647,51
camera (5),0.01960784,0.9803922,0.9607843,51
camera (6),0.01960784,0.9803922,0.5882353,51
camera (7),0.01960784,0.9803922,0.9607843,51

camera (0),0,1,0.9615384,52
camera (1),0,1,0.9807692,52
camera (2),0.9807692,0.01923077,0,52
camera (3),0,1,0.9807692,52
camera (4),0,1,0.4230769,52
camera (5),0.01923077,0.9807692,0.9615384,52
camera (6),0.01923077,0.9807692,0.5769231,52
camera (7),0.01923077,0.9807692,0.9615384,52

camera (0),0,1,0.9622642,53
camera (1),0,1,0.9811321,53
camera (2),0.9811321,0.01886792,0,53
camera (3),0,1,0.9811321,53
camera (4),0,1,0.4339623,53
camera (5),0.01886792,0.9811321,0.9622642,53
camera (6),0.01886792,0.981132,0.5660377,53
camera (7),0.01886792,0.9811321,0.9622642,53

camera (0),0,1,0.962963,54
camera (1),0,1,0.9814815,54
camera (2),0.9814815,0.01851852,0,54
camera (3),0,1,0.9814815,54
camera (4),0,1,0.4444444,54
camera (5),0.01851852,0.9814815,0.962963,54
camera (6),0.01851852,0.9814816,0.5555556,54
camera (7),0.01851852,0.9814815,0.962963,54

camera (0),0,1,0.9636363,55
camera (1),0,1,0.9818182,55
camera (2),0.9818182,0.01818182,0,55
camera (3),0,1,0.9818182,55
camera (4),0,1,0.4545455,55
camera (5),0.01818182,0.9818181,0.9636363,55
camera (6),0.01818182,0.9818182,0.5454546,55
camera (7),0.01818182,0.9818181,0.9636363,55

camera (0),0,1,0.9642857,56
camera (1),0,1,0.9821429,56
camera (2),0.9821429,0.01785714,0,56
camera (3),0,1,0.9821429,56
camera (4),0,1,0.4464286,56
camera (5),0.01785714,0.9821429,0.9642857,56
camera (6),0.01785714,0.9821428,0.5357143,56
camera (7),0.01785714,0.9821429,0.9642857,56

camera (0),0,1,0.9649123,57
camera (1),0,1,0.9824561,57
camera (2),0.9824561,0.01754386,0,57
camera (3),0,1,0.9824561,57
camera (4),0,1,0.4385965,57
camera (5),0.01754386,0.9824561,0.9649123,57
camera (6),0.01754386,0.9824561,0.5263158,57
camera (7),0.01754386,0.9824561,0.9649123,57

camera (0),0,1,0.9655172,58
camera (1),0,1,0.9827586,58
camera (2),0.9827586,0.01724138,0,58
camera (3),0,1,0.9827586,58
camera (4),0,1,0.4482759,58
camera (5),0.01724138,0.9827586,0.9655172,58
camera (6),0.01724138,0.9827586,0.5172414,58
camera (7),0.01724138,0.9827586,0.9655172,58

camera (0),0,1,0.9661017,59
camera (1),0,1,0.9830508,59
camera (2),0.9830508,0.01694915,0,59
camera (3),0,1,0.9830508,59
camera (4),0,1,0.440678,59
camera (5),0.01694915,0.9830509,0.9661017,59
camera (6),0.01694915,0.9830508,0.5084746,59
camera (7),0.01694915,0.9830509,0.9661017,59

camera (0),0,1,0.9666666,60
camera (1),0,1,0.9833333,60
camera (2),0.9833333,0.01666667,0,60
camera (3),0,1,0.9833333,60
camera (4),0,1,0.4333333,60
camera (5),0.01666667,0.9833333,0.9666666,60
camera (6),0.01666667,0.9833333,0.5,60
camera (7),0.01666667,0.9833333,0.9666666,60

camera (0),0,1,0.9672131,61
camera (1),0,1,0.9836066,61
camera (2),0.9836066,0.01639344,0,61
camera (3),0,1,0.9836066,61
camera (4),0,1,0.442623,61
camera (5),0.01639344,0.9836065,0.9672131,61
camera (6),0.01639344,0.9836066,0.4918033,61
camera (7),0.01639344,0.9836065,0.9672131,61

camera (0),0,1,0.9677419,62
camera (1),0,1,0.983871,62
camera (2),0.983871,0.01612903,0,62
camera (3),0,1,0.983871,62
camera (4),0,1,0.4354839,62
camera (5),0.01612903,0.9838709,0.9677419,62
camera (6),0.01612903,0.983871,0.483871,62
camera (7),0.01612903,0.9838709,0.9677419,62

camera (0),0,1,0.968254,63
camera (1),0,1,0.984127,63
camera (2),0.984127,0.01587302,0,63
camera (3),0,1,0.984127,63
camera (4),0,1,0.4444444,63
camera (5),0.01587302,0.984127,0.968254,63
camera (6),0.01587302,0.984127,0.4761905,63
camera (7),0.01587302,0.984127,0.968254,63

camera (0),0,1,0.96875,64
camera (1),0,1,0.984375,64
camera (2),0.984375,0.015625,0,64
camera (3),0,1,0.984375,64
camera (4),0,1,0.453125,64
camera (5),0.015625,0.984375,0.96875,64
camera (6),0.015625,0.984375,0.46875,64
camera (7),0.015625,0.984375,0.96875,64

camera (0),0,1,0.9692308,65
camera (1),0,1,0.9846154,65
camera (2),0.9846154,0.01538462,0,65
camera (3),0,1,0.9846154,65
camera (4),0,1,0.4461538,65
camera (5),0.01538462,0.9846154,0.9692308,65
camera (6),0.01538462,0.9846154,0.4615385,65
camera (7),0.01538462,0.9846154,0.9692308,65

camera (0),0,1,0.969697,66
camera (1),0,1,0.9848485,66
camera (2),0.9848485,0.01515152,0,66
camera (3),0,1,0.9848485,66
camera (4),0,1,0.4545455,66
camera (5),0.01515152,0.9848485,0.969697,66
camera (6),0.01515152,0.9848485,0.4545455,66
camera (7),0.01515152,0.9848485,0.969697,66

camera (0),0,1,0.9701493,67
camera (1),0,1,0.9850746,67
camera (2),0.9850746,0.01492537,0,67
camera (3),0,1,0.9850746,67
camera (4),0,1,0.4477612,67
camera (5),0.01492537,0.9850746,0.9701493,67
camera (6),0.01492537,0.9850746,0.4477612,67
camera (7),0.01492537,0.9850746,0.9701493,67

camera (0),0,1,0.9705882,68
camera (1),0,1,0.9852941,68
camera (2),0.9852941,0.01470588,0,68
camera (3),0,1,0.9852941,68
camera (4),0,1,0.4558823,68
camera (5),0.01470588,0.9852941,0.9705882,68
camera (6),0.01470588,0.9852941,0.4411765,68
camera (7),0.01470588,0.9852941,0.9705882,68

camera (0),0,1,0.9710145,69
camera (1),0,1,0.9855072,69
camera (2),0.9855072,0.01449275,0,69
camera (3),0,1,0.9855072,69
camera (4),0,1,0.4637681,69
camera (5),0.01449275,0.9855072,0.9710145,69
camera (6),0.01449275,0.9855072,0.4347826,69
camera (7),0.01449275,0.9855072,0.9710145,69

camera (0),0,1,0.9714286,70
camera (1),0,1,0.9857143,70
camera (2),0.9857143,0.01428571,0,70
camera (3),0,1,0.9857143,70
camera (4),0,1,0.4571429,70
camera (5),0.01428571,0.9857143,0.9714286,70
camera (6),0.01428571,0.9857143,0.4285714,70
camera (7),0.01428571,0.9857143,0.9714286,70

camera (0),0,1,0.971831,71
camera (1),0,1,0.9859155,71
camera (2),0.9859155,0.01408451,0,71
camera (3),0,1,0.9859155,71
camera (4),0,1,0.4647887,71
camera (5),0.01408451,0.9859155,0.971831,71
camera (6),0.01408451,0.9859155,0.4225352,71
camera (7),0.01408451,0.9859155,0.971831,71

camera (0),0,1,0.9722222,72
camera (1),0,1,0.9861111,72
camera (2),0.9861111,0.01388889,0,72
camera (3),0,1,0.9861111,72
camera (4),0,1,0.4583333,72
camera (5),0.01388889,0.9861111,0.9722222,72
camera (6),0.01388889,0.986111,0.4166667,72
camera (7),0.01388889,0.9861111,0.9722222,72

camera (0),0,1,0.9726027,73
camera (1),0,1,0.9863014,73
camera (2),0.9863014,0.01369863,0,73
camera (3),0,1,0.9863014,73
camera (4),0,1,0.4520548,73
camera (5),0.01369863,0.9863014,0.9726027,73
camera (6),0.01369863,0.9863014,0.4109589,73
camera (7),0.01369863,0.9863014,0.9726027,73

camera (0),0,1,0.972973,74
camera (1),0,1,0.9864865,74
camera (2),0.9864865,0.01351351,0,74
camera (3),0,1,0.9864865,74
camera (4),0,1,0.4594595,74
camera (5),0.01351351,0.9864865,0.972973,74
camera (6),0.01351351,0.9864865,0.4054054,74
camera (7),0.01351351,0.9864865,0.972973,74

camera (0),0,1,0.9733334,75
camera (1),0,1,0.9866667,75
camera (2),0.9866667,0.01333333,0,75
camera (3),0,1,0.9866667,75
camera (4),0,1,0.4533333,75
camera (5),0.01333333,0.9866667,0.9733334,75
camera (6),0.01333333,0.9866667,0.4,75
camera (7),0.01333333,0.9866667,0.9733334,75

camera (0),0,1,0.9736842,76
camera (1),0,1,0.9868421,76
camera (2),0.9868421,0.01315789,0,76
camera (3),0,1,0.9868421,76
camera (4),0,1,0.4605263,76
camera (5),0.01315789,0.9868421,0.9736842,76
camera (6),0.01315789,0.9868422,0.3947369,76
camera (7),0.01315789,0.9868421,0.9736842,76

camera (0),0,1,0.974026,77
camera (1),0,1,0.987013,77
camera (2),0.987013,0.01298701,0,77
camera (3),0,1,0.987013,77
camera (4),0,1,0.4545455,77
camera (5),0.01298701,0.987013,0.974026,77
camera (6),0.01298701,0.987013,0.3896104,77
camera (7),0.01298701,0.987013,0.974026,77

camera (0),0,1,0.974359,78
camera (1),0,1,0.9871795,78
camera (2),0.9871795,0.01282051,0,78
camera (3),0,1,0.9871795,78
camera (4),0,1,0.448718,78
camera (5),0.01282051,0.9871795,0.974359,78
camera (6),0.01282051,0.9871795,0.3846154,78
camera (7),0.01282051,0.9871795,0.974359,78

camera (0),0,1,0.9746835,79
camera (1),0,1,0.9873418,79
camera (2),0.9873418,0.01265823,0,79
camera (3),0,1,0.9873418,79
camera (4),0,1,0.4556962,79
camera (5),0.01265823,0.9873418,0.9746835,79
camera (6),0.01265823,0.9873418,0.3797468,79
camera (7),0.01265823,0.9873418,0.9746835,79

camera (0),0,1,0.975,80
camera (1),0,1,0.9875,80
camera (2),0.9875,0.0125,0,80
camera (3),0,1,0.9875,80
camera (4),0,1,0.45,80
camera (5),0.0125,0.9875,0.975,80
camera (6),0.0125,0.9875,0.375,80
camera (7),0.0125,0.9875,0.975,80

camera (0),0,1,0.9753087,81
camera (1),0,1,0.9876543,81
camera (2),0.9876543,0.01234568,0,81
camera (3),0,1,0.9876543,81
camera (4),0,1,0.4567901,81
camera (5),0.01234568,0.9876543,0.9753087,81
camera (6),0.01234568,0.9876543,0.3703704,81
camera (7),0.01234568,0.9876543,0.9753087,81

camera (0),0,1,0.9756098,82
camera (1),0,1,0.9878049,82
camera (2),0.9878049,0.01219512,0,82
camera (3),0,1,0.9878049,82
camera (4),0,1,0.4634146,82
camera (5),0.01219512,0.9878049,0.9756098,82
camera (6),0.01219512,0.9878049,0.3658537,82
camera (7),0.01219512,0.9878049,0.9756098,82

camera (0),0,1,0.9759036,83
camera (1),0,1,0.9879518,83
camera (2),0.9879518,0.01204819,0,83
camera (3),0,1,0.9879518,83
camera (4),0,1,0.4698795,83
camera (5),0.01204819,0.9879518,0.9759036,83
camera (6),0.01204819,0.9879518,0.3614458,83
camera (7),0.01204819,0.9879518,0.9759036,83

camera (0),0,1,0.9761904,84
camera (1),0,1,0.9880952,84
camera (2),0.9880952,0.01190476,0,84
camera (3),0,1,0.9880952,84
camera (4),0,1,0.4761905,84
camera (5),0.01190476,0.9880952,0.9761904,84
camera (6),0.01190476,0.9880952,0.3571429,84
camera (7),0.01190476,0.9880952,0.9761904,84

camera (0),0,1,0.9764706,85
camera (1),0,1,0.9882353,85
camera (2),0.9882353,0.01176471,0,85
camera (3),0,1,0.9882353,85
camera (4),0,1,0.4823529,85
camera (5),0.01176471,0.9882353,0.9764706,85
camera (6),0.01176471,0.9882354,0.3529412,85
camera (7),0.01176471,0.9882353,0.9764706,85

camera (0),0,1,0,1
camera (1),0,1,0,1
camera (2),0,1,0,1
camera (3),0,1,0,1
camera (4),0,1,0,1
camera (5),1,0,0,1
camera (6),0,1,0,1
camera (7),1,0,0,1

camera (0),0,1,0.5,2
camera (1),0,1,0.5,2
camera (2),0.5,0.5,0,2
camera (3),0,1,0.5,2
camera (4),0,1,0,2
camera (5),0.5,0.5,0.5,2
camera (6),0,1,0.5,2
camera (7),0.5,0.5,0.5,2

camera (0),0,1,0.6666667,3
camera (1),0,1,0.6666667,3
camera (2),0.6666667,0.3333333,0,3
camera (3),0,1,0.6666667,3
camera (4),0,1,0,3
camera (5),0.3333333,0.6666667,0.6666667,3
camera (6),0,1,0.6666667,3
camera (7),0.3333333,0.6666667,0.6666667,3

camera (0),0,1,0.75,4
camera (1),0,1,0.75,4
camera (2),0.75,0.25,0,4
camera (3),0,1,0.75,4
camera (4),0,1,0,4
camera (5),0.25,0.75,0.75,4
camera (6),0,1,0.5,4
camera (7),0.25,0.75,0.75,4

camera (0),0,1,0.8,5
camera (1),0,1,0.8,5
camera (2),0.8,0.2,0,5
camera (3),0,1,0.8,5
camera (4),0,1,0,5
camera (5),0.2,0.8,0.8,5
camera (6),0,1,0.6,5
camera (7),0.2,0.8,0.8,5

camera (0),0,1,0.8333333,6
camera (1),0,1,0.8333333,6
camera (2),0.8333333,0.1666667,0,6
camera (3),0,1,0.8333333,6
camera (4),0,1,0,6
camera (5),0.1666667,0.8333333,0.8333333,6
camera (6),0,1,0.5,6
camera (7),0.1666667,0.8333333,0.8333333,6

camera (0),0,1,0.8571429,7
camera (1),0,1,0.8571429,7
camera (2),0.8571429,0.1428571,0,7
camera (3),0,1,0.8571429,7
camera (4),0,1,0,7
camera (5),0.1428571,0.8571429,0.8571429,7
camera (6),0,1,0.5714286,7
camera (7),0.1428571,0.8571429,0.8571429,7

camera (0),0,1,0.875,8
camera (1),0,1,0.875,8
camera (2),0.875,0.125,0,8
camera (3),0,1,0.875,8
camera (4),0,1,0,8
camera (5),0.125,0.875,0.875,8
camera (6),0,1,0.625,8
camera (7),0.125,0.875,0.875,8

camera (0),0,1,0.8888889,9
camera (1),0,1,0.8888889,9
camera (2),0.8888889,0.1111111,0,9
camera (3),0,1,0.8888889,9
camera (4),0,1,0,9
camera (5),0.1111111,0.8888889,0.8888889,9
camera (6),0,1,0.6666667,9
camera (7),0.1111111,0.8888889,0.8888889,9

camera (0),0,1,0.9,10
camera (1),0,1,0.9,10
camera (2),0.9,0.1,0,10
camera (3),0,1,0.9,10
camera (4),0,1,0,10
camera (5),0.1,0.9,0.9,10
camera (6),0,1,0.7,10
camera (7),0.1,0.9,0.9,10

camera (0),0,1,0.9090909,11
camera (1),0,1,0.9090909,11
camera (2),0.9090909,0.09090909,0,11
camera (3),0,1,0.9090909,11
camera (4),0,1,0,11
camera (5),0.09090909,0.9090909,0.9090909,11
camera (6),0,1,0.7272727,11
camera (7),0.09090909,0.9090909,0.9090909,11

camera (0),0,1,0.9166667,12
camera (1),0,1,0.9166667,12
camera (2),0.9166667,0.08333334,0,12
camera (3),0,1,0.9166667,12
camera (4),0,1,0,12
camera (5),0.08333334,0.9166667,0.9166667,12
camera (6),0,1,0.75,12
camera (7),0.08333334,0.9166667,0.9166667,12

camera (0),0,1,0.9230769,13
camera (1),0,1,0.9230769,13
camera (2),0.9230769,0.07692308,0,13
camera (3),0,1,0.9230769,13
camera (4),0,1,0,13
camera (5),0.07692308,0.9230769,0.9230769,13
camera (6),0,1,0.7692308,13
camera (7),0.07692308,0.9230769,0.9230769,13

camera (0),0,1,0.9285714,14
camera (1),0,1,0.9285714,14
camera (2),0.9285714,0.07142857,0,14
camera (3),0,1,0.9285714,14
camera (4),0,1,0,14
camera (5),0.07142857,0.9285714,0.9285714,14
camera (6),0,1,0.7857143,14
camera (7),0.07142857,0.9285714,0.9285714,14

camera (0),0,1,0.9333333,15
camera (1),0,1,0.9333333,15
camera (2),0.9333333,0.06666667,0,15
camera (3),0,1,0.9333333,15
camera (4),0,1,0,15
camera (5),0.06666667,0.9333333,0.9333333,15
camera (6),0,1,0.8,15
camera (7),0.06666667,0.9333333,0.9333333,15

camera (0),0,1,0.9375,16
camera (1),0,1,0.9375,16
camera (2),0.9375,0.0625,0,16
camera (3),0,1,0.9375,16
camera (4),0,1,0,16
camera (5),0.0625,0.9375,0.9375,16
camera (6),0,1,0.8125,16
camera (7),0.0625,0.9375,0.9375,16

camera (0),0,1,0.9411765,17
camera (1),0,1,0.9411765,17
camera (2),0.9411765,0.05882353,0,17
camera (3),0,1,0.9411765,17
camera (4),0,1,0,17
camera (5),0.05882353,0.9411765,0.9411765,17
camera (6),0,1,0.8235294,17
camera (7),0.05882353,0.9411765,0.9411765,17

camera (0),0,1,0.9444444,18
camera (1),0,1,0.9444444,18
camera (2),0.9444444,0.05555556,0,18
camera (3),0,1,0.9444444,18
camera (4),0,1,0,18
camera (5),0.05555556,0.9444444,0.9444444,18
camera (6),0,1,0.8333333,18
camera (7),0.05555556,0.9444444,0.9444444,18

camera (0),0,1,0.9473684,19
camera (1),0,1,0.9473684,19
camera (2),0.9473684,0.05263158,0,19
camera (3),0,1,0.9473684,19
camera (4),0,1,0,19
camera (5),0.05263158,0.9473684,0.9473684,19
camera (6),0,1,0.8421053,19
camera (7),0.05263158,0.9473684,0.9473684,19

camera (0),0,1,0.95,20
camera (1),0,1,0.95,20
camera (2),0.95,0.05,0,20
camera (3),0,1,0.95,20
camera (4),0,1,0,20
camera (5),0.05,0.95,0.95,20
camera (6),0,1,0.85,20
camera (7),0.05,0.95,0.95,20

camera (0),0,1,0.952381,21
camera (1),0,1,0.952381,21
camera (2),0.952381,0.04761905,0,21
camera (3),0,1,0.952381,21
camera (4),0,1,0,21
camera (5),0.04761905,0.952381,0.952381,21
camera (6),0,1,0.8571429,21
camera (7),0.04761905,0.952381,0.952381,21

camera (0),0,1,0.9545454,22
camera (1),0,1,0.9545454,22
camera (2),0.9545454,0.04545455,0,22
camera (3),0,1,0.9545454,22
camera (4),0,1,0,22
camera (5),0.04545455,0.9545454,0.9545454,22
camera (6),0,1,0.8636364,22
camera (7),0.04545455,0.9545454,0.9545454,22

camera (0),0,1,0.9565217,23
camera (1),0,1,0.9565217,23
camera (2),0.9565217,0.04347826,0,23
camera (3),0,1,0.9565217,23
camera (4),0,1,0,23
camera (5),0.04347826,0.9565217,0.9565217,23
camera (6),0,1,0.8695652,23
camera (7),0.04347826,0.9565217,0.9565217,23

camera (0),0,1,0.9583333,24
camera (1),0,1,0.9583333,24
camera (2),0.9583333,0.04166667,0,24
camera (3),0,1,0.9583333,24
camera (4),0,1,0.04166667,24
camera (5),0.04166667,0.9583333,0.9583333,24
camera (6),0,1,0.875,24
camera (7),0.04166667,0.9583333,0.9583333,24

camera (0),0,1,0.96,25
camera (1),0,1,0.96,25
camera (2),0.96,0.04,0,25
camera (3),0,1,0.96,25
camera (4),0,1,0.08,25
camera (5),0.04,0.96,0.96,25
camera (6),0,1,0.88,25
camera (7),0.04,0.96,0.96,25

camera (0),0,1,0.9615384,26
camera (1),0,1,0.9615384,26
camera (2),0.9615384,0.03846154,0,26
camera (3),0,1,0.9615384,26
camera (4),0,1,0.1153846,26
camera (5),0.03846154,0.9615384,0.9615384,26
camera (6),0,1,0.8846154,26
camera (7),0.03846154,0.9615384,0.9615384,26

camera (0),0,1,0.962963,27
camera (1),0,1,0.962963,27
camera (2),0.962963,0.03703704,0,27
camera (3),0,1,0.962963,27
camera (4),0,1,0.1111111,27
camera (5),0.03703704,0.962963,0.962963,27
camera (6),0,1,0.8888889,27
camera (7),0.03703704,0.962963,0.962963,27

camera (0),0,1,0.9642857,28
camera (1),0,1,0.9642857,28
camera (2),0.9642857,0.03571429,0,28
camera (3),0,1,0.9642857,28
camera (4),0,1,0.1428571,28
camera (5),0.03571429,0.9642857,0.9642857,28
camera (6),0,1,0.8928571,28
camera (7),0.03571429,0.9642857,0.9642857,28

camera (0),0,1,0.9655172,29
camera (1),0,1,0.9655172,29
camera (2),0.9655172,0.03448276,0,29
camera (3),0,1,0.9655172,29
camera (4),0,1,0.137931,29
camera (5),0.03448276,0.9655172,0.9655172,29
camera (6),0,1,0.8965517,29
camera (7),0.03448276,0.9655172,0.9655172,29

camera (0),0,1,0.9666666,30
camera (1),0,1,0.9666666,30
camera (2),0.9666666,0.03333334,0,30
camera (3),0,1,0.9666666,30
camera (4),0,1,0.1333333,30
camera (5),0.03333334,0.9666666,0.9666666,30
camera (6),0,1,0.9,30
camera (7),0.03333334,0.9666666,0.9666666,30

camera (0),0,1,0.9677419,31
camera (1),0,1,0.9677419,31
camera (2),0.9677419,0.03225806,0,31
camera (3),0,1,0.9677419,31
camera (4),0,1,0.1290323,31
camera (5),0.03225806,0.9677419,0.9677419,31
camera (6),0,1,0.9032258,31
camera (7),0.03225806,0.9677419,0.9677419,31

camera (0),0,1,0.96875,32
camera (1),0,1,0.96875,32
camera (2),0.96875,0.03125,0,32
camera (3),0,1,0.96875,32
camera (4),0,1,0.15625,32
camera (5),0.03125,0.96875,0.96875,32
camera (6),0,1,0.875,32
camera (7),0.03125,0.96875,0.96875,32

camera (0),0,1,0.969697,33
camera (1),0,1,0.969697,33
camera (2),0.969697,0.03030303,0,33
camera (3),0,1,0.969697,33
camera (4),0,1,0.1818182,33
camera (5),0.03030303,0.969697,0.969697,33
camera (6),0,1,0.8484849,33
camera (7),0.03030303,0.969697,0.969697,33

camera (0),0,1,0.9705882,34
camera (1),0,1,0.9705882,34
camera (2),0.9705882,0.02941176,0,34
